q1,q2,q3,q4,q5,q6,q7,classic,profound,luxury,fancy,warm,soft,simple,comfortable,relax,feminine,romantic,bright,light,dynamic,friendly,pattern1,pattern2,pattern3,color1,color2,style,index
5,3,2,2,4,2,4,2,2,4,5,4,5,1,3,3,4,3,4,3,2,3,romantic,natural,romantic,romantic,romantic,romantic,212
4,3,3,3,2,2,3,4,4,4,3,4,4,1,4,3,4,3,3,2,3,3,classic,classic,natural,classic,modern,classic,213
4,5,2,4,4,3,1,1,3,4,4,3,3,4,4,4,3,3,4,4,5,3,classic,casual,romantic,classic,natural,casual,214
2,4,2,3,2,1,1,2,2,3,3,2,4,4,3,4,2,3,4,2,3,3,casual,natural,modern,modern,modern,modern,215
3,4,2,3,3,3,2,2,2,4,2,3,4,3,4,3,2,3,4,4,2,3,classic,casual,modern,modern,modern,modern,216
4,2,3,2,4,3,3,2,2,3,5,5,3,2,3,2,4,4,3,3,2,3,modern,romantic,modern,natural,casual,romantic,217
2,4,1,2,2,3,1,1,2,4,2,3,4,4,4,4,2,3,4,2,3,3,modern,modern,natural,romantic,modern,modern,218
3,3,1,3,2,2,2,2,3,4,3,3,3,4,4,4,2,3,3,3,2,2,modern,modern,casual,classic,casual,modern,219
3,3,2,2,3,2,2,1,2,4,3,3,3,4,4,3,3,2,3,2,3,2,modern,modern,classic,modern,romantic,modern,220
3,4,2,2,2,3,2,1,2,4,3,3,3,4,4,4,3,2,4,4,3,2,modern,modern,modern,modern,natural,modern,221
3,4,2,3,2,2,2,2,2,3,3,3,3,4,4,4,3,3,3,2,2,2,natural,romantic,classic,modern,classic,modern,222
2,3,1,2,2,2,2,2,2,3,3,2,3,4,4,3,2,2,4,2,3,3,classic,modern,modern,romantic,modern,modern,223
4,5,2,3,3,3,2,3,3,4,2,4,4,3,3,4,2,4,4,4,3,4,classic,natural,romantic,natural,natural,natural,224
4,5,2,3,4,3,2,4,4,4,3,4,3,1,2,3,3,4,2,1,2,2,classic,classic,casual,classic,classic,classic,225
2,3,1,1,2,3,1,2,2,3,2,3,4,3,4,3,2,3,4,2,2,3,casual,modern,romantic,natural,modern,modern,226
4,4,3,4,2,3,2,4,4,3,4,3,4,1,3,2,3,3,3,2,3,3,classic,romantic,classic,romantic,natural,classic,227
2,4,1,2,3,2,1,2,2,4,2,2,3,3,4,3,2,2,3,3,3,3,modern,modern,natural,modern,classic,modern,228
3,4,1,1,3,2,2,2,2,3,3,2,3,4,4,3,3,3,4,3,3,3,modern,modern,natural,modern,classic,modern,229
5,2,3,1,4,2,4,2,2,4,4,3,5,2,4,3,4,4,4,2,2,3,classic,romantic,modern,romantic,romantic,romantic,230
5,2,3,2,4,3,4,3,2,3,4,4,3,2,3,3,4,3,4,3,2,3,natural,modern,casual,natural,casual,romantic,231
4,4,1,4,3,2,2,4,3,4,4,3,3,1,2,3,4,3,3,2,3,3,classic,natural,classic,classic,natural,classic,232
4,3,4,1,3,2,4,3,3,3,3,3,4,1,3,3,5,4,4,3,3,3,modern,modern,casual,casual,casual,romantic,233
5,3,4,1,4,3,3,2,2,3,3,3,5,1,3,3,4,3,4,2,2,3,romantic,casual,classic,romantic,romantic,romantic,234
4,3,2,3,4,2,3,4,4,3,4,4,3,1,4,4,4,4,4,2,2,3,romantic,classic,modern,classic,romantic,classic,235
2,4,2,2,3,2,2,1,2,3,3,3,3,4,4,4,2,3,4,3,3,3,casual,natural,romantic,classic,modern,modern,236
2,4,2,2,3,2,2,2,2,4,2,3,4,4,3,4,2,3,4,4,3,2,modern,modern,classic,natural,classic,modern,237
4,5,2,2,4,3,2,2,3,4,2,3,3,3,3,4,3,3,3,2,2,3,natural,casual,natural,natural,natural,natural,238
5,4,1,2,3,3,3,2,3,4,3,4,3,3,4,4,2,3,3,3,3,3,natural,modern,casual,natural,classic,natural,239
5,3,3,2,4,3,4,3,3,4,3,5,5,2,3,3,5,3,4,3,3,2,romantic,natural,modern,romantic,natural,romantic,240
4,5,3,2,4,2,2,2,2,4,2,3,3,4,4,3,2,4,3,2,3,3,natural,natural,natural,natural,natural,natural,241
3,4,1,3,2,3,2,2,2,3,2,3,3,4,4,4,2,2,3,3,2,3,natural,modern,modern,casual,modern,modern,242
5,3,4,2,4,2,4,2,2,3,4,4,5,1,4,3,4,3,3,3,2,3,romantic,casual,casual,natural,classic,romantic,243
4,5,2,3,3,2,3,4,4,3,4,4,4,1,3,3,3,4,3,1,2,3,modern,classic,modern,casual,classic,classic,244
4,4,2,4,3,2,2,3,4,4,3,3,4,2,2,4,3,3,3,2,2,3,classic,classic,modern,classic,classic,classic,245
5,2,2,2,4,3,4,2,2,3,5,4,4,2,3,4,4,5,3,3,2,2,casual,romantic,romantic,romantic,natural,romantic,246
3,4,2,3,3,2,2,2,3,4,3,2,3,4,4,3,2,3,4,3,3,3,romantic,modern,modern,modern,casual,modern,247
4,5,1,3,3,2,3,3,3,4,2,3,3,4,4,4,2,4,3,4,3,2,classic,casual,natural,natural,modern,natural,248
5,3,4,2,3,3,4,4,3,4,3,4,4,2,4,3,5,4,3,2,3,3,classic,modern,romantic,romantic,romantic,romantic,249
3,4,2,1,3,2,1,1,2,4,2,3,4,4,3,4,2,3,3,3,3,3,natural,natural,modern,romantic,modern,modern,250
4,5,1,3,3,3,3,3,2,4,2,4,4,4,4,4,3,3,4,3,2,3,natural,classic,natural,classic,modern,natural,251
4,5,3,3,3,4,3,2,2,3,3,4,4,4,3,4,3,2,5,3,4,4,casual,modern,romantic,casual,casual,casual,252
5,4,3,4,4,2,3,2,3,4,4,3,3,3,3,3,3,3,4,5,4,3,natural,modern,classic,casual,romantic,casual,253
3,3,1,2,3,2,2,1,2,3,2,3,3,4,4,4,2,3,3,3,3,3,modern,natural,natural,natural,modern,modern,254
5,4,3,3,4,2,2,3,3,4,2,4,3,3,3,3,2,4,3,3,2,4,natural,romantic,classic,natural,natural,natural,255
2,4,2,2,2,2,2,2,2,3,3,3,3,4,4,4,2,2,3,4,2,2,casual,modern,classic,natural,modern,modern,256
2,3,2,2,3,1,2,2,3,3,2,2,4,4,4,4,2,3,4,2,3,3,modern,modern,modern,romantic,modern,modern,257
4,4,3,3,4,3,3,3,3,4,2,3,3,4,4,4,2,4,4,2,3,2,natural,natural,natural,modern,classic,natural,258
3,3,2,3,2,2,1,2,3,4,3,3,4,3,4,4,2,2,4,3,3,3,modern,natural,natural,classic,natural,modern,259
4,4,2,4,4,4,2,2,3,3,3,3,3,3,4,4,4,3,5,4,4,4,romantic,romantic,casual,casual,casual,casual,260
3,4,2,3,2,2,1,1,2,4,2,2,4,4,4,4,2,3,3,3,2,3,modern,natural,natural,modern,natural,modern,261
2,3,2,1,2,3,2,2,2,3,2,3,4,4,3,3,3,3,4,3,3,2,romantic,modern,modern,modern,classic,modern,262
4,2,2,1,4,2,4,4,2,3,3,5,3,3,3,2,4,3,4,2,3,2,natural,romantic,modern,classic,romantic,romantic,263
4,4,2,3,3,4,3,1,2,3,3,4,4,3,3,4,4,3,4,5,4,4,natural,casual,modern,classic,classic,casual,264
4,4,3,4,3,4,2,2,2,3,3,3,4,4,4,3,4,3,5,4,3,4,casual,romantic,casual,casual,casual,casual,265
4,3,2,3,2,2,3,3,4,3,4,3,3,2,2,3,3,3,3,2,3,3,casual,casual,casual,classic,casual,classic,266
2,4,2,2,3,2,2,2,3,3,2,2,3,3,4,3,2,2,3,3,2,3,modern,modern,casual,romantic,modern,modern,267
4,5,2,3,3,4,3,3,3,4,3,3,2,4,4,3,2,3,4,3,4,3,casual,casual,modern,casual,modern,casual,268
5,4,2,5,4,4,2,2,3,3,4,2,3,4,3,4,3,2,5,4,4,3,classic,casual,classic,classic,casual,casual,269
4,4,1,3,4,2,2,4,4,4,3,4,4,1,3,4,3,4,2,2,3,3,natural,romantic,classic,casual,classic,classic,270
4,4,1,2,4,3,2,2,2,3,3,3,4,3,4,4,3,4,3,4,3,4,natural,natural,modern,natural,romantic,natural,271
4,5,3,3,3,3,3,3,3,3,3,2,4,3,4,4,3,3,4,4,4,3,modern,casual,casual,romantic,casual,casual,272
3,4,2,3,4,3,2,5,3,3,3,4,3,1,3,4,4,4,3,1,2,2,classic,casual,classic,natural,modern,classic,273
3,4,2,3,3,3,3,4,4,4,4,4,3,2,2,2,3,3,3,1,3,2,natural,modern,modern,modern,romantic,classic,274
5,5,3,3,3,3,3,2,2,4,3,2,3,3,4,4,3,2,4,3,2,4,casual,modern,casual,natural,modern,natural,275
2,4,1,3,3,2,1,2,2,3,2,2,3,3,3,4,2,3,3,4,3,3,romantic,classic,casual,modern,modern,modern,276
4,3,3,2,4,2,4,2,3,3,4,3,4,3,4,2,4,5,3,2,3,3,modern,romantic,romantic,casual,modern,romantic,277
5,4,3,5,4,3,2,1,2,3,4,2,3,4,3,3,3,3,5,3,4,4,casual,casual,casual,casual,casual,casual,278
3,4,2,3,3,2,3,3,3,4,3,4,3,3,4,4,2,3,3,3,2,4,casual,natural,natural,casual,modern,natural,279
3,4,1,3,3,3,2,1,2,4,2,2,3,4,4,4,2,2,3,2,2,3,modern,classic,natural,modern,modern,modern,280
3,4,2,2,2,1,1,1,2,3,3,3,3,4,3,4,2,3,3,3,2,3,modern,classic,natural,casual,classic,modern,281
5,5,2,3,4,3,2,2,3,4,2,3,3,4,3,4,3,2,3,2,3,2,natural,natural,natural,natural,natural,natural,282
2,4,2,3,3,2,2,2,3,4,3,3,3,4,4,3,2,3,4,3,3,3,romantic,classic,romantic,casual,modern,modern,283
3,4,2,3,3,1,1,1,2,4,3,2,3,3,4,4,3,3,3,4,2,3,classic,casual,modern,modern,modern,modern,284
2,3,1,2,2,3,1,1,3,3,2,3,4,4,4,4,2,3,3,4,3,2,classic,classic,romantic,modern,classic,modern,285
3,5,1,2,4,3,2,3,3,3,3,3,3,3,4,3,2,4,3,3,2,3,modern,romantic,natural,natural,casual,natural,286
4,4,1,4,3,3,2,4,4,3,4,3,4,2,4,3,4,3,3,1,2,3,romantic,classic,classic,natural,casual,classic,287
3,3,1,2,2,2,2,1,2,3,3,2,3,4,3,4,3,3,3,3,3,3,romantic,casual,modern,modern,modern,modern,288
4,5,2,3,4,2,3,4,3,3,4,4,4,2,4,4,3,4,3,1,3,2,casual,classic,classic,natural,natural,classic,289
5,4,3,2,3,2,3,2,2,4,3,4,4,3,4,4,3,3,4,4,3,2,classic,natural,natural,natural,modern,natural,290
5,5,2,3,4,3,2,3,3,3,2,3,3,3,4,4,2,3,4,4,3,2,casual,natural,modern,modern,casual,natural,291
2,3,2,2,3,3,1,2,2,3,2,3,3,4,3,4,3,2,4,2,2,3,modern,romantic,romantic,modern,classic,modern,292
3,4,2,3,2,3,2,1,2,4,2,3,3,4,3,4,3,3,3,2,3,2,romantic,casual,romantic,modern,casual,modern,293
3,4,2,1,2,2,1,2,2,3,2,3,3,4,3,4,3,2,3,4,2,3,romantic,romantic,modern,modern,modern,modern,294
3,4,1,1,2,3,2,1,2,4,3,2,3,3,3,4,3,3,3,4,2,3,modern,modern,modern,casual,classic,modern,295
5,5,2,2,3,3,2,2,2,4,2,2,3,3,4,4,3,2,4,3,2,2,natural,modern,classic,natural,natural,natural,296
3,3,1,1,2,1,2,2,3,4,2,3,4,4,3,4,3,2,3,2,2,3,classic,classic,romantic,romantic,modern,modern,297
5,3,2,1,4,2,3,3,3,3,3,5,3,2,3,4,4,3,4,2,2,2,modern,casual,romantic,natural,romantic,romantic,298
5,4,2,3,3,2,3,2,3,3,3,4,3,4,3,3,3,3,4,5,3,4,romantic,classic,casual,casual,casual,casual,299
4,5,3,3,3,3,3,3,3,4,2,3,4,4,3,4,2,2,3,3,2,4,modern,natural,natural,casual,modern,natural,300
3,5,3,3,4,3,3,3,3,4,3,3,3,4,4,4,3,4,4,3,3,4,casual,natural,natural,natural,romantic,natural,301
2,4,1,3,3,1,1,2,2,4,3,3,3,4,4,4,2,2,4,4,3,2,classic,natural,romantic,classic,classic,modern,302
4,2,4,1,3,3,4,4,2,4,3,5,5,1,4,4,5,3,4,3,3,2,romantic,romantic,romantic,romantic,romantic,romantic,303
5,4,2,2,3,3,2,3,2,4,2,4,4,3,3,3,3,3,3,3,3,2,natural,modern,natural,modern,romantic,natural,304
5,5,2,4,3,4,2,1,3,4,3,4,4,3,4,3,2,2,5,5,3,4,casual,modern,casual,casual,casual,casual,305
3,3,1,3,2,2,2,5,4,4,3,3,4,2,2,3,3,3,3,2,3,3,modern,modern,classic,classic,classic,classic,306
2,4,2,2,3,3,1,1,2,3,3,2,3,4,3,4,3,2,3,3,3,3,modern,casual,romantic,natural,modern,modern,307
5,3,4,1,3,3,4,4,2,4,5,4,4,2,4,3,5,3,4,2,3,3,casual,modern,modern,romantic,modern,romantic,308
4,4,3,3,3,3,3,1,3,3,4,4,3,4,3,3,4,3,4,4,3,4,casual,casual,romantic,casual,romantic,casual,309
2,4,1,2,3,3,1,2,2,4,3,3,4,4,4,4,3,3,3,4,2,3,modern,modern,classic,natural,modern,modern,310
4,4,1,3,3,2,2,2,3,4,2,2,3,3,4,4,3,3,4,4,3,2,romantic,natural,natural,modern,romantic,natural,311
3,4,2,3,4,3,2,3,4,4,4,4,3,2,3,4,3,3,4,1,2,3,modern,natural,romantic,classic,casual,classic,312
3,3,2,3,3,2,2,1,2,4,2,3,3,4,4,4,3,2,4,3,3,3,modern,modern,modern,modern,modern,modern,313
4,3,4,2,3,2,3,3,3,3,5,3,3,2,3,3,4,5,4,2,2,3,classic,classic,romantic,romantic,natural,romantic,314
4,4,2,5,4,2,1,1,2,4,4,4,3,4,4,4,4,3,4,4,4,4,casual,casual,romantic,casual,casual,casual,315
2,3,2,2,3,2,2,2,3,4,3,3,3,4,4,3,2,2,4,3,2,2,romantic,classic,natural,classic,classic,modern,316
4,4,1,4,4,2,2,5,4,4,4,4,4,2,3,4,3,4,2,2,2,3,classic,classic,natural,natural,classic,classic,317
2,3,2,2,3,3,1,1,3,3,2,3,3,3,4,4,3,2,4,2,2,3,modern,modern,modern,casual,natural,modern,318
5,3,3,1,3,2,3,2,3,3,4,3,4,1,3,3,5,4,4,2,2,3,classic,modern,romantic,romantic,classic,romantic,319
4,4,3,4,3,3,2,2,2,4,3,2,3,3,4,4,2,2,5,5,3,4,classic,casual,romantic,classic,casual,casual,320
4,5,2,5,3,3,2,2,2,4,4,2,2,3,3,4,3,2,4,4,5,4,modern,romantic,casual,romantic,modern,casual,321
4,4,1,3,4,3,2,3,2,4,3,3,3,3,4,3,2,3,4,3,3,4,casual,casual,modern,natural,romantic,natural,322
4,3,3,3,3,2,3,3,4,3,3,3,3,1,2,4,3,4,3,2,3,3,classic,classic,classic,romantic,classic,classic,323
4,5,2,4,3,3,2,5,3,4,4,3,4,2,3,3,3,3,2,2,2,3,romantic,classic,classic,romantic,romantic,classic,324
2,4,1,3,3,1,2,2,2,4,3,2,3,4,4,3,3,2,4,2,3,3,modern,modern,modern,modern,casual,modern,325
4,3,3,2,4,2,3,3,3,4,5,4,4,1,3,3,5,3,3,3,3,3,natural,modern,classic,romantic,romantic,romantic,326
4,4,2,3,4,2,3,2,3,4,2,3,3,3,4,4,3,3,3,3,2,4,natural,natural,natural,natural,natural,natural,327
3,4,1,3,3,2,2,2,2,4,3,2,3,4,4,4,3,2,4,4,2,3,modern,modern,casual,modern,modern,modern,328
4,4,2,4,3,3,3,4,4,4,4,3,4,2,4,4,4,4,3,2,2,3,modern,casual,classic,natural,casual,classic,329
5,4,2,2,4,2,3,2,2,3,3,3,3,4,4,4,3,3,3,3,2,3,natural,romantic,natural,casual,romantic,natural,330
3,3,1,2,3,3,2,2,2,3,3,2,3,4,3,3,3,3,3,3,3,3,modern,natural,modern,modern,natural,modern,331
4,4,3,5,4,3,3,2,2,3,4,3,3,3,4,3,4,3,5,3,4,3,natural,modern,casual,casual,casual,casual,332
2,4,2,2,2,3,2,2,2,4,2,2,3,3,3,4,2,3,3,3,2,3,modern,romantic,casual,natural,romantic,modern,333
3,4,2,2,2,1,2,2,2,3,3,3,3,4,4,4,3,3,3,3,3,2,modern,classic,natural,modern,modern,modern,334
4,3,2,2,4,3,3,4,2,4,4,5,3,3,3,2,4,4,4,2,2,2,romantic,romantic,casual,casual,romantic,romantic,335
2,3,2,3,3,3,1,2,2,3,3,3,3,4,4,4,3,3,4,3,2,3,modern,modern,modern,modern,modern,modern,336
2,4,2,2,2,2,2,2,2,3,2,3,3,4,3,4,3,3,3,3,3,2,modern,romantic,modern,modern,romantic,modern,337
3,4,2,2,4,2,3,2,2,4,2,3,4,4,3,3,3,3,4,2,3,3,modern,natural,natural,modern,romantic,natural,338
4,3,3,4,2,3,3,3,4,4,3,3,4,2,3,4,4,4,3,1,2,3,natural,modern,natural,classic,casual,classic,339
4,3,3,1,4,2,3,2,2,4,3,4,4,2,4,3,4,4,4,3,3,2,romantic,romantic,romantic,romantic,modern,romantic,340
3,5,3,3,3,2,3,2,2,4,2,4,3,3,3,4,3,2,4,4,3,2,natural,classic,classic,natural,romantic,natural,341
2,4,2,2,2,2,2,2,3,4,2,3,3,3,4,4,2,3,3,2,2,3,classic,modern,natural,romantic,romantic,modern,342
3,4,3,3,3,2,2,3,3,4,2,2,3,4,4,4,3,3,4,3,3,3,modern,modern,romantic,classic,romantic,natural,343
4,4,1,3,3,2,2,3,4,3,4,4,3,2,4,3,4,4,4,2,2,3,classic,classic,romantic,modern,romantic,classic,344
5,5,2,3,3,2,3,3,3,4,2,4,4,4,4,4,3,2,4,2,2,3,natural,modern,romantic,romantic,natural,natural,345
4,4,3,4,4,3,3,3,3,4,4,4,2,3,4,3,2,3,5,3,5,3,casual,casual,romantic,casual,modern,casual,346
4,3,3,4,4,3,2,4,4,4,4,4,4,1,2,2,4,3,3,1,2,3,classic,natural,natural,classic,classic,classic,347
5,4,1,3,4,2,2,3,2,3,3,3,3,3,4,4,3,2,3,3,2,3,natural,romantic,natural,natural,natural,natural,348
4,4,2,3,3,3,3,3,2,4,2,3,4,4,3,4,3,2,3,4,3,4,modern,classic,romantic,natural,natural,natural,349
3,4,2,2,3,3,2,1,2,4,3,2,3,4,3,4,3,3,4,3,2,3,classic,modern,modern,modern,classic,modern,350
5,4,2,3,3,3,3,3,2,3,3,3,4,3,3,4,2,4,3,3,2,4,casual,casual,natural,romantic,modern,natural,351
4,4,2,4,4,4,3,2,3,4,3,3,4,4,3,3,3,2,5,4,4,4,casual,romantic,casual,romantic,modern,casual,352
4,4,3,4,4,2,1,1,3,4,3,3,2,3,3,3,3,2,4,5,5,4,casual,casual,casual,natural,casual,casual,353
4,5,2,2,3,2,2,3,3,4,3,3,3,3,3,4,3,3,3,2,3,3,natural,natural,casual,natural,classic,natural,354
4,5,3,3,3,3,2,2,3,4,2,3,3,4,4,3,2,3,3,2,3,2,natural,romantic,casual,natural,modern,natural,355
2,3,1,3,3,1,2,2,3,4,2,3,4,3,4,4,2,3,3,2,2,3,modern,classic,modern,modern,classic,modern,356
4,5,3,4,3,3,3,2,3,4,3,4,2,4,4,3,3,3,4,5,5,4,casual,romantic,casual,casual,casual,casual,357
3,3,2,3,3,2,2,1,3,4,3,3,3,4,3,3,3,3,4,3,2,3,modern,modern,natural,modern,modern,modern,358
5,5,2,3,3,2,2,2,3,4,2,4,3,4,4,4,3,3,4,4,2,3,natural,romantic,modern,classic,natural,natural,359
4,3,2,3,4,2,3,5,4,4,3,4,4,2,2,2,4,4,4,2,2,2,romantic,classic,classic,romantic,classic,classic,360
3,4,2,3,4,3,3,4,4,4,3,4,3,2,2,3,4,3,4,2,3,3,classic,casual,natural,natural,classic,classic,361
3,3,1,3,3,3,2,1,3,3,3,2,3,4,4,4,3,3,3,4,2,3,natural,modern,modern,modern,modern,modern,362
2,3,1,2,3,1,2,2,2,4,3,2,3,4,3,4,3,2,4,3,2,2,modern,modern,casual,casual,modern,modern,363
2,3,2,2,2,1,2,1,2,4,2,2,4,4,3,4,3,3,4,3,2,2,modern,modern,casual,natural,modern,modern,364
3,4,2,2,2,1,1,2,2,3,3,3,4,3,3,4,3,3,3,3,3,3,modern,natural,modern,modern,modern,modern,365
4,2,3,1,3,2,4,3,3,4,3,5,4,2,3,3,4,5,4,3,2,2,classic,romantic,casual,modern,casual,romantic,366
2,4,2,3,2,3,2,2,3,3,3,2,4,4,4,4,2,3,3,3,2,3,modern,modern,modern,romantic,modern,modern,367
3,3,2,2,3,3,1,2,2,3,3,3,4,3,3,3,2,3,3,2,3,3,modern,natural,natural,modern,classic,modern,368
5,4,3,5,3,4,3,2,2,3,3,3,3,4,3,4,2,3,5,4,5,3,natural,modern,casual,casual,modern,casual,369
2,4,1,3,2,2,2,2,3,3,3,3,4,4,3,4,3,3,3,4,2,3,modern,natural,romantic,modern,modern,modern,370
5,5,2,4,3,2,3,2,2,3,4,4,4,4,4,4,2,3,5,4,4,4,natural,natural,natural,modern,classic,casual,371
4,3,1,4,3,3,3,3,3,3,4,3,4,1,3,4,4,3,4,1,3,2,classic,romantic,classic,modern,romantic,classic,372
4,5,1,3,4,3,3,3,3,4,3,4,4,3,3,4,2,3,3,3,2,3,natural,natural,modern,natural,modern,natural,373
4,4,1,3,4,2,3,5,4,4,3,4,4,2,3,3,4,3,2,2,2,2,classic,natural,casual,modern,classic,classic,374
3,4,1,2,2,2,1,1,2,3,3,2,3,4,3,4,2,2,3,4,2,3,modern,modern,casual,natural,natural,modern,375
5,4,3,4,3,3,1,3,3,4,3,2,3,3,3,4,3,3,5,3,3,4,casual,casual,casual,classic,casual,casual,376
2,4,1,1,3,3,1,1,3,4,3,2,3,3,4,4,2,2,3,3,2,2,modern,casual,modern,modern,natural,modern,377
2,4,1,3,3,2,2,2,3,4,2,2,3,4,4,4,3,3,4,4,2,2,natural,classic,modern,modern,casual,modern,378
5,5,3,4,4,3,2,2,2,4,4,3,3,4,4,3,3,2,4,4,4,3,natural,natural,classic,casual,casual,casual,379
2,4,1,2,2,2,2,1,2,3,2,3,4,4,3,4,2,3,3,4,2,3,casual,modern,natural,modern,modern,modern,380
2,3,2,2,2,3,2,1,2,4,2,2,4,4,4,3,2,3,4,2,3,3,casual,modern,modern,modern,classic,modern,381
4,5,2,2,3,3,3,3,3,4,2,2,4,4,3,3,3,2,4,2,2,4,natural,natural,natural,modern,romantic,natural,382
3,4,1,2,2,1,2,2,2,4,3,2,3,3,3,4,3,3,4,4,2,2,modern,casual,modern,modern,natural,modern,383
5,3,3,2,4,3,4,3,2,4,4,4,5,3,4,4,5,4,4,2,3,2,modern,natural,classic,classic,romantic,romantic,384
4,5,2,4,2,3,3,4,4,3,4,4,4,2,4,2,3,3,3,2,3,3,casual,romantic,classic,classic,modern,classic,385
4,3,2,3,3,2,3,4,3,4,4,4,3,2,4,3,4,3,3,2,2,2,classic,casual,classic,classic,casual,classic,386
2,4,2,2,2,3,2,2,2,4,3,3,4,4,3,4,3,2,3,3,2,3,modern,modern,modern,natural,modern,modern,387
3,4,2,2,3,2,2,2,2,4,2,2,3,4,4,4,3,3,4,4,2,3,natural,modern,modern,romantic,natural,modern,388
4,4,3,4,3,3,3,3,4,4,4,4,4,1,4,3,3,4,4,2,3,2,classic,natural,classic,modern,natural,classic,389
4,2,3,1,4,3,4,4,2,3,3,4,4,3,3,2,5,3,3,2,3,2,natural,romantic,romantic,romantic,romantic,romantic,390
3,4,2,3,3,3,1,1,3,3,3,3,3,4,3,3,2,2,3,2,3,2,classic,modern,modern,romantic,modern,modern,391
3,4,2,3,2,2,1,1,2,3,2,3,3,4,4,4,3,3,3,3,2,3,casual,modern,classic,classic,modern,modern,392
4,4,3,4,3,4,1,2,3,3,3,3,2,3,4,4,4,3,5,5,3,4,modern,casual,casual,casual,casual,casual,393
3,4,1,2,2,3,1,2,2,4,2,3,4,3,4,4,3,3,4,2,2,3,romantic,romantic,casual,modern,natural,modern,394
1,4,4,1,4,4,3,4,4,3,5,3,5,2,2,4,5,5,2,2,4,4,romantic,casual,classic,modern,casual,natural,395
4,5,2,4,4,3,2,4,2,4,3,2,3,2,5,4,3,4,4,3,3,5,classic,natural,casual,casual,casual,natural,396
4,2,5,4,2,1,4,2,2,2,4,3,1,2,2,2,1,4,3,2,3,4,casual,natural,romantic,modern,natural,romantic,397
5,4,2,3,3,5,4,4,4,3,1,4,2,5,2,4,3,5,2,4,2,4,classic,casual,modern,natural,modern,casual,398
2,2,5,3,2,2,4,1,3,5,2,1,2,4,5,5,1,4,4,4,2,3,modern,natural,natural,romantic,casual,classic,399
2,2,1,2,4,2,3,2,3,4,3,4,1,2,5,2,4,1,3,5,4,1,romantic,casual,natural,classic,modern,modern,400
1,4,5,2,2,5,5,4,3,4,5,2,3,4,2,3,2,5,1,3,3,1,modern,romantic,romantic,romantic,classic,modern,401
2,4,2,2,2,2,4,3,2,5,5,1,2,5,5,4,2,2,2,2,4,3,romantic,classic,modern,classic,modern,romantic,402
2,5,5,2,5,4,4,3,1,2,3,4,2,4,3,4,3,4,3,4,4,2,modern,classic,natural,casual,modern,natural,403
4,5,4,4,1,3,5,1,2,4,5,1,2,2,4,2,1,2,2,3,4,2,modern,modern,romantic,modern,modern,modern,404
4,3,1,4,3,3,5,5,2,2,2,4,2,3,3,4,2,4,2,2,1,4,natural,romantic,natural,classic,modern,casual,405
2,2,1,5,4,1,4,1,3,4,1,4,1,3,1,2,3,3,2,4,4,3,modern,modern,casual,modern,natural,casual,406
3,2,1,4,1,4,5,2,4,1,4,4,3,5,2,2,4,3,4,4,4,1,classic,modern,classic,romantic,classic,modern,407
3,2,1,2,4,5,4,3,3,1,4,3,4,3,4,4,4,2,4,2,4,2,romantic,classic,modern,modern,modern,natural,408
5,3,2,2,3,1,5,3,4,2,2,3,5,2,4,1,1,2,1,3,3,2,romantic,casual,romantic,casual,classic,romantic,409
4,2,1,2,1,2,1,3,3,2,2,3,5,2,2,3,5,2,2,2,5,3,classic,natural,casual,natural,classic,modern,410
2,1,3,2,1,3,4,1,5,4,5,4,4,2,2,3,5,5,5,4,1,2,casual,romantic,classic,natural,natural,natural,411
1,5,3,4,2,5,4,3,3,3,1,2,4,2,4,4,2,3,4,3,2,2,classic,casual,classic,romantic,romantic,casual,412
1,3,2,2,2,2,2,2,3,3,4,4,3,1,2,3,1,2,5,4,3,5,casual,casual,natural,modern,romantic,romantic,413
3,2,3,2,4,1,3,5,5,1,1,4,4,4,3,5,4,1,2,3,4,4,natural,natural,modern,natural,natural,romantic,414
1,3,4,4,5,2,4,3,1,4,3,3,3,5,5,2,4,2,2,1,5,4,natural,casual,romantic,casual,casual,modern,415
4,2,2,1,2,5,3,4,4,1,2,2,4,1,2,4,4,4,2,5,4,1,natural,classic,classic,casual,modern,modern,416
3,1,2,2,2,5,2,4,3,3,5,4,1,1,3,2,1,2,3,2,5,1,classic,romantic,romantic,casual,natural,casual,417
5,3,3,5,4,4,4,2,2,5,1,4,3,1,2,2,2,1,4,1,4,4,classic,modern,classic,casual,classic,modern,418
2,4,3,4,2,2,4,4,3,3,2,2,2,1,5,2,2,3,2,3,3,3,modern,classic,natural,casual,romantic,casual,419
1,4,4,2,2,4,3,1,1,2,2,1,4,3,2,1,2,2,4,3,3,1,natural,modern,modern,natural,casual,casual,420
4,4,3,2,4,3,2,4,2,4,4,4,1,3,4,4,1,3,2,4,1,1,classic,natural,classic,modern,classic,modern,421
4,3,3,2,2,3,5,2,2,1,1,4,4,2,4,2,2,3,4,4,4,4,natural,casual,modern,casual,natural,classic,422
4,3,4,4,2,1,3,4,1,1,4,2,5,4,2,3,4,5,5,3,4,4,classic,romantic,casual,romantic,romantic,natural,423
5,4,3,5,2,4,4,2,4,3,4,1,2,2,4,3,4,4,2,2,3,2,modern,classic,modern,natural,casual,casual,424
4,2,3,2,5,2,4,3,4,3,2,2,1,2,1,4,4,2,4,5,1,2,romantic,modern,modern,modern,casual,casual,425
